,molecule_chembl_id,IC50,units,smiles,pIC50
2339,CHEMBL4855825,527.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc2c(ncn2C)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.278189384787453
2340,CHEMBL3605108,527.6,nM,CN(C)S(=O)(=O)n1cc(-c2cnc(N)c3c(-c4ccc(Oc5ccccc5)cc4)csc23)cn1,6.277695213125672
2341,CHEMBL4859682,545.0,nM,CC(=O)Nc1cccc(-c2cc3[nH]cnc3c(Nc3ccc(C(=O)N4CCOCC4)cc3)n2)c1C,6.2636034977233574
2342,CHEMBL215943,545.0,nM,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,6.2636034977233574
2343,CHEMBL4245876,550.0,nM,Cc1c(-c2ccc(C(N)=O)c3[nH]ccc23)cccc1-n1cnc2ccccc2c1=O,6.259637310505756
2344,CHEMBL4850428,550.0,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,6.259637310505756
2345,CHEMBL3904180,550.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCCC2c1cccnc1,6.259637310505756
2346,CHEMBL4564014,550.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)ccc3oc4ccc(-c5ccc(F)nc5)cc4c32)c1,6.259637310505756
2347,CHEMBL4445919,550.0,nM,O=C(Nc1cccc(C2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCCC1,6.259637310505756
2348,CHEMBL4875477,571.0,nM,C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccc3)cc2)c(C(N)=O)n1N,6.243363891754152
2349,CHEMBL3263630,574.0,nM,Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nccn2c1,6.241088107602026
2350,CHEMBL3402590,574.0,nM,CN(C)C(=O)N1CCC(c2cc3c(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4CO)ncnc3[nH]2)CC1,6.241088107602026
2351,CHEMBL3787112,580.0,nM,Nc1ncnc2c1c(-c1cccc(O)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,6.236572006437063
2352,CHEMBL3920744,584.0,nM,COc1cc(F)cc(-c2nn(C3CCc4ccccc43)c3ncnc(N)c23)c1,6.2335871528876
2353,CHEMBL4079595,596.0,nM,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(N(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCC(OC)CC1,6.2247537402597635
2354,CHEMBL4085457,607.0,nM,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,6.2168113089247425
2355,CHEMBL4564665,614.0,nM,CN1CCN(c2ccc(Nc3nc(-c4cccc(NC(=O)c5ccc(Cl)cc5)c4)sc3C(N)=O)cc2)CC1,6.211831628858832
2356,CHEMBL4579565,617.0,nM,NC(=O)c1sc(-c2cccc(NC(=O)c3ccc(C(F)(F)F)cc3)c2)nc1Nc1ccc(C(=O)N2CCOCC2)cc1,6.209714835966759
2357,CHEMBL3948372,618.0,nM,O=C1c2c(F)cc(C3CC3)cc2OCCN1c1nccc(-c2ccnc3[nH]c(C4=CCNCC4)cc23)c1CO,6.209011524911184
2358,CHEMBL4871140,623.0,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5F)cc4)[nH]c23)C1,6.20551195334083
2359,CHEMBL4856652,632.0,nM,C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)CC1,6.199282921717614
2360,CHEMBL4460690,637.0,nM,CN1CCN(c2ccc(Nc3nc(-c4cccc(NC(=O)c5ccc(C(F)(F)F)cn5)c4)sc3C(N)=O)cc2)CC1,6.195860567664649
2361,CHEMBL4208482,640.0,nM,CC(C)(C)c1ccc2c(c1)CN(c1cccc(-c3nc(N)nc(Nc4ccc(N5CCOCC5)cc4)n3)c1CO)C2=O,6.1938200260161125
2362,CHEMBL3940428,640.0,nM,C=CC(=O)NCC1CCNc2c(C(N)=O)c(-c3cnn(Cc4ccccc4)c3)nn21,6.1938200260161125
2363,CHEMBL3401285,650.0,nM,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccncn2)n1,6.187086643357144
2364,CHEMBL4163691,651.95,nM,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccoc23)c1,6.185785710336726
2365,CHEMBL4069186,667.0,nM,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(N(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)NCCOC,6.175874166083451
2366,CHEMBL1916907,670.0,nM,CNc1cc2c(cc1F)nc(Oc1ccccc1C)c1cncn12,6.173925197299173
2367,CHEMBL4872521,676.0,nM,CC#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)n(N)c23)CC1,6.170053304058364
2368,CHEMBL4639930,676.0,nM,C=CC(=O)NCCOc1cc(C(O)(c2ccccc2)c2ccccc2)cc2[nH]c(-c3n[nH]c4cc(C(F)F)ccc34)cc12,6.170053304058364
2369,CHEMBL4877739,683.0,nM,C=CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,6.165579296318468
2370,CHEMBL3649458,695.5,nM,Cn1cc(-c2cccc(-n3ncc4cc(C(C)(C)C)cc(CO)c4c3=O)c2CO)cc1C(N)=O,6.157702865671935
2371,CHEMBL3605105,699.2,nM,Nc1ncc(-c2cnn(Cc3ccccc3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,6.155398580373653
2372,CHEMBL4868893,709.0,nM,Cc1c(NC(=O)c2cccc(C(C)(C)C)c2)cccc1-c1cc2[nH]cnc2c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1,6.149353764816933
2373,CHEMBL4871949,709.0,nM,C=CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)n(C)c23)CC1,6.149353764816933
2374,CHEMBL4126797,718.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C)c(=O)c3cnc(Nc4ccc(N5CCN(C(C)=O)CC5)cc4OC)nc32)c1,6.1438755557577
2375,CHEMBL4874448,718.2,nM,CN1CCN(c2ccc(-c3cc4c(N5CCN(C(=O)Nc6ccc(Cl)c(C(F)(F)F)c6)CC5)ncnc4s3)cc2)CC1,6.143754599209945
2376,CHEMBL4218760,725.2,nM,C=CC(=O)NCCC(=O)NC1Cn2c(c(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1=C,6.139542204576529
2377,CHEMBL4572535,730.0,nM,C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccncc3)cc2)CC1,6.136677139879544
